usr_id,first_name,last_name,gender,email,phone,date_of_birth,job,experience,salary
0,Shelby,Terrell,Male,elijah57@example.net,001-084-906-7849x73518,1945-10-26,Engineer,Junior,46300.0
1,Phillip,Summers,Female,bethany14@example.com,214.112.6044x4913,1910-03-24,Analyst,Semi-senior,47300.0
2,Kristine,Travis,Male,bthompson@example.com,277.609.7938,1992-07-02,Analyst,Senior,68100.0
3,Yesenia,Martinez,Male,kaitlinkaiser@example.com,584.094.6111,2017-08-03,Engineer,Semi-senior,64500.0
4,Lori,Todd,Male,buchananmanuel@example.net,689-207-3558x7233,1938-12-01,Analyst,Junior,23100.0
5,Erin,Day,Male,tconner@example.org,001-171-649-9856x5553,2015-10-28,Engineer,Senior,89200.0
6,Katherine,Buck,Female,conniecowan@example.com,+1-773-151-6685x49162,1989-01-22,Analyst,Junior,18100.0
7,Ricardo,Hinton,Male,wyattbishop@example.com,001-447-699-7998x88612,1924-03-26,Consultant,Senior,61700.0
8,Dave,Farrell,Male,nmccann@example.net,603-428-2429x27392,2018-10-06,Engineer,Senior,92900.0
9,Isaiah,Downs,Male,virginiaterrell@example.org,+1-511-372-1544x8206,1964-09-20,Analyst,Senior,74800.0
10,Sheila,Ross,Female,huangcathy@example.com,895.881.4746,2008-03-20,Consultant,Semi-senior,39700.0
11,Stacy,Newton,Male,rayleroy@example.org,710.673.3213x80335,1980-10-20,Analyst,Semi-senior,47500.0
12,Mandy,Blake,Male,jefferynoble@example.org,(992)466-1305x4947,2007-12-08,Analyst,Junior,22900.0
13,Bridget,Nash,Female,mercedes44@example.com,(216)627-8359,2004-06-28,Engineer,Senior,93700.0
14,Crystal,Farmer,Male,pmiranda@example.org,+1-024-377-5391,1992-03-09,Engineer,Semi-senior,66900.0
15,Thomas,Knight,Female,braunpriscilla@example.net,+1-360-880-0766,2006-02-18,Analyst,Senior,72000.0
16,Maurice,Rangel,Male,sheenabanks@example.com,(246)187-4969,2004-08-20,Consultant,Semi-senior,37300.0
17,Frank,Meadows,Male,gbrewer@example.org,429.965.3902x4447,2008-09-16,Consultant,Semi-senior,32300.0
18,Alvin,Paul,Male,gilbertdonaldson@example.com,219.436.0887x07551,1949-05-12,Analyst,Junior,22600.0
19,Jared,Mitchell,Female,jcortez@example.com,+1-958-849-6781,1921-01-18,Consultant,Semi-senior,38100.0
20,Jacqueline,Norton,Female,carias@example.net,819.309.7679x59173,1952-10-09,Consultant,Junior,11700.0
21,Colleen,Hatfield,Female,fknox@example.org,638.584.1090,1949-10-14,Consultant,Senior,58900.0
22,Randy,Barnes,Male,huangbill@example.org,001-960-629-7164x67214,1947-12-30,Consultant,Senior,56500.0
23,Janice,Rhodes,Female,juarezdominique@example.net,001-249-314-9742x6996,1999-11-01,Consultant,Senior,59100.0
24,Alfred,Mcneil,Female,cassandramorris@example.com,(468)276-9509x53058,1993-05-28,Engineer,Junior,51500.0
25,Sean,Levine,Male,sallymiller@example.net,4915828504,2010-10-09,Consultant,Semi-senior,35100.0
26,Louis,Payne,Male,bsullivan@example.net,6232695307,1916-01-29,Engineer,Senior,92800.0
27,Brittney,Vega,Female,ayalajose@example.net,945-739-8686,1932-10-31,Analyst,Senior,70400.0
28,Judy,Buckley,Male,irosales@example.net,001-654-208-1241x52830,1963-07-28,Engineer,Senior,89400.0
29,Norman,Weber,Male,mconrad@example.com,223.002.0429,1957-05-21,Engineer,Semi-senior,65000.0
30,Isaiah,Camacho,Female,jimblake@example.org,001-536-544-3367,1966-04-07,Consultant,Senior,57400.0
31,Jacqueline,Gallagher,Male,nsampson@example.net,(247)762-8934,1999-02-25,Analyst,Senior,72600.0
32,Bonnie,Andrews,Female,caitlin24@example.net,+1-253-987-2776x9161,1953-12-21,Analyst,Semi-senior,47600.0
33,Brandon,Schmidt,Female,mconley@example.net,+1-386-673-1465x006,1931-05-12,Engineer,Junior,39600.0
34,Jackson,Sparks,Female,reynoldsdarryl@example.net,(137)908-3129x65035,1980-11-18,Engineer,Senior,87600.0
35,Melody,Cook,Male,jeannovak@example.org,(826)792-7381,1963-06-25,Engineer,Junior,45900.0
36,Leonard,Hurst,Male,clinton78@example.org,941-038-0427x38800,1938-03-13,Engineer,Junior,44400.0
37,Gene,Rich,Female,luisdeleon@example.org,+1-356-818-6604x89537,1946-08-22,Analyst,Semi-senior,48100.0
38,Cynthia,Wiggins,Female,rosariodave@example.org,(110)858-2437x70190,1984-01-27,Engineer,Semi-senior,64300.0
39,Tanya,Mckinney,Female,vickihouston@example.com,(830)774-9002x086,2003-03-12,Analyst,Semi-senior,48900.0
40,Matthew,Stone,Female,evelyn31@example.org,952-381-6360,2017-08-23,Consultant,Semi-senior,37100.0
41,Kirk,Walsh,Female,stephenfuller@example.org,001-826-496-5529x8661,2009-04-08,Consultant,Junior,11500.0
42,Willie,Vang,Female,haleymathews@example.net,741.168.6854x067,1978-02-02,Analyst,Senior,69500.0
43,Miguel,Hill,Female,tyrone56@example.org,5247842945,1930-08-26,Analyst,Senior,65700.0
44,Darren,Andrews,Male,lhernandez@example.com,(975)799-4261,1997-10-04,Engineer,Senior,89400.0
